Short Code	Species Name
ALCA	Albugo candida
ALLA	Albugo labiachii
APAS	Aphanomyces astaci
APIN	Aphanomyces invadans
HYAP	Hyaloperonospora arabidopsis
PHAG	Phytophthora agathidicida
PHCA	Phytophthora capsici
PHCI	Phytophthora cinnamomi
PHCR	Phytophthora cryptogea
PHFR	Phytophthora fragariae
PHIF	Phytophthora infestans
PHKE	Phytophthora kernoviae
PHLA	Phytophthora lateralis
PHMU	Phytophthora multivora
PHNI	Phytophthora nicotianae
PHPA	Phytophthora parasitica
PHPI	Phytophthora pinifolia
PHPS	Phytophthora pisi
PHPL	Phytophthora pluvialis
PHRA	Phytophthora ramorum
PHRU	Phytophthora rubi
PHSO	Phytophthora sojae
PHTT	Phytophthora taxon totara
PYVX	Phytopythium vexans
PIAP	Pilasporangium apinafurcum
PLHA	Plasmopara halstedii
PLVI	Plasmopara viticola
PYAP	Pythium aphanidermatum
PYAR	Pythium arrhenomanes
PYIN	Pythium insidiosum
PYIR	Pythium irregulare
PYIW	Pythium iwayami
PYOL	Pythium oligandrum 
PYUS	Pythium ultimum var. sporangiiferum
PYUU	Pythium ultimum var. ultimum
SADI	Saprolegnia diclina
SAPA	Saprolegnia parasitica
